game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,stand,p_throws
748583,2023-10-04,5,Bot,554340,668904,CU,Curveball,84.5,2733,-2.73,54.69,5.17,1.38,0.35,0.88,1.43,14,,foul,45.8,-27.0,3.0,83.8,74,R,R
748583,2023-10-04,5,Bot,554340,668904,CU,Curveball,82.8,2776,-2.73,54.57,5.26,0.89,-0.22,0.41,2.61,6,,called_strike,,,,82.6,85,R,R
748583,2023-10-04,5,Bot,579328,593871,CU,Curveball,82.9,2392,2.15,53.47,5.69,-0.28,-0.31,-0.14,2.05,8,single,hit_into_play,101.8,2.0,66.0,84.4,305,R,L
748583,2023-10-04,5,Bot,579328,666397,SL,Slider,88.8,2376,2.59,53.61,5.4,-0.42,0.18,0.18,2.16,8,field_out,hit_into_play,95.5,41.0,346.0,90.0,219,L,L
748583,2023-10-04,5,Bot,579328,666397,SL,Slider,88.4,2501,2.54,53.62,5.43,-0.25,0.19,-0.64,-0.04,13,,ball,,,,89.3,128,L,L
748583,2023-10-04,5,Bot,579328,666397,FF,4-Seam Fastball,93.5,2143,2.53,53.41,5.44,0.99,1.35,0.04,1.52,14,,ball,,,,94.8,134,L,L
748583,2023-10-04,5,Bot,579328,572191,FF,4-Seam Fastball,95.0,2307,2.55,53.42,5.52,0.98,1.29,-0.29,2.81,4,field_out,hit_into_play,34.0,-6.0,15.0,96.2,134,R,L
748583,2023-10-04,5,Bot,579328,572191,CU,Curveball,83.1,2520,2.13,53.37,5.78,-0.27,-0.47,-0.02,1.41,13,,foul,66.4,-46.0,2.0,84.7,302,R,L
748583,2023-10-04,5,Top,543243,666182,FF,4-Seam Fastball,92.9,2583,-0.72,53.93,5.53,0.17,0.63,-0.21,3.45,2,,foul,,,,93.5,190,R,R
748583,2023-10-04,5,Top,543243,666182,ST,Sweeper,86.2,2822,-0.64,53.86,5.49,1.11,-0.76,1.76,-0.22,14,,blocked_ball,,,,86.6,38,R,R
748583,2023-10-04,5,Top,543243,666182,FF,4-Seam Fastball,92.6,2632,-0.7,53.81,5.56,0.25,0.83,0.75,3.11,3,,foul_tip,,,,94.0,199,R,R
748583,2023-10-04,5,Top,543243,666182,FF,4-Seam Fastball,93.6,2599,-0.66,53.97,5.59,-0.01,1.06,-0.12,3.69,2,,swinging_strike,,,,94.5,195,R,R
748583,2023-10-04,5,Top,543243,666182,SI,Sinker,93.4,2504,-0.71,53.92,5.53,-0.3,0.74,0.68,2.26,9,,ball,,,,94.5,206,R,R
748583,2023-10-04,5,Top,543243,666182,ST,Sweeper,86.1,2941,-0.72,53.91,5.54,1.27,-0.49,2.35,-0.54,14,,ball,,,,86.7,34,R,R
748583,2023-10-04,5,Top,543243,665489,SI,Sinker,95.1,2616,-0.67,53.84,5.51,-0.84,0.62,0.9,1.36,14,walk,ball,,,,96.2,201,R,R
748583,2023-10-04,5,Top,543243,665489,ST,Sweeper,84.2,2772,-0.67,53.87,5.48,1.19,-0.65,1.25,0.93,14,,ball,,,,84.8,44,R,R
748583,2023-10-04,5,Top,543243,665489,ST,Sweeper,84.6,2643,-0.76,53.93,5.53,1.02,-0.54,0.02,1.75,8,,foul,89.0,-31.0,3.0,85.0,40,R,R
