idfg,season,name,team,age,wins,losses,war,era,games,games_started,innings_pitched,strikeouts,walks,home_runs,whip,k_per_9,bb_per_9,k_percent,bb_percent,fip,xfip,babip,lob_percent,hard_hit_percent,flyball_percent,fb_velocity,sl_percent,sl_velocity,ch_percent,ch_velocity,cb_percent,cb_velocity,ld_percent,gb_percent,hr_per_9
16400,2024,Reynaldo Lopez,ATL,30,8,5,3.5,1.99,26,25,135.2,148,42,10,1.11,9.82,2.79,0.273,0.077,2.92,3.44,0.287,0.87,0.42200000000000004,0.382,95.5,0.295,85.1,0.038,86.1,0.115,77.0,0.22399999999999998,0.39399999999999996,0.66
13743,2024,Max Fried,ATL,30,11,10,3.4,3.25,29,29,174.1,166,57,13,1.16,8.57,2.94,0.23199999999999998,0.08,3.33,3.33,0.282,0.725,0.345,0.23199999999999998,93.8,0.158,83.8,0.13699999999999998,85.8,0.21100000000000002,74.7,0.18,0.588,0.67
17425,2024,Erick Fedde,- - -,31,9,9,3.4,3.3,31,31,177.1,154,52,20,1.16,7.82,2.64,0.212,0.07200000000000001,3.86,4.12,0.271,0.792,0.377,0.39399999999999996,93.0,0.20199999999999999,83.5,,,,,0.185,0.42100000000000004,1.02
14078,2024,Michael Wacha,KCR,32,13,8,3.3,3.35,29,29,166.2,145,45,17,1.19,7.83,2.43,0.212,0.066,3.65,4.14,0.29,0.7709999999999999,0.322,0.415,93.6,0.08,83.9,0.322,81.3,0.081,75.2,0.19899999999999998,0.386,0.92
30134,2024,Tanner Bibee,CLE,25,12,8,3.3,3.47,31,31,173.2,187,44,22,1.12,9.69,2.28,0.263,0.062,3.56,3.72,0.285,0.7709999999999999,0.369,0.444,94.7,0.278,86.2,0.18,82.5,0.105,81.3,0.209,0.34600000000000003,1.14
17085,2024,Pablo Lopez,MIN,28,15,10,3.2,4.08,32,32,185.1,198,41,26,1.19,9.62,1.99,0.256,0.053,3.65,3.36,0.309,0.722,0.371,0.36200000000000004,95.0,0.21899999999999997,84.5,0.2,88.5,0.1,82.5,0.21,0.429,1.26
16149,2024,Aaron Nola,PHI,31,14,8,3.2,3.57,33,33,199.1,197,50,30,1.2,8.89,2.26,0.24,0.061,3.94,3.44,0.294,0.79,0.377,0.33899999999999997,92.1,,,0.096,85.8,0.32899999999999996,79.2,0.21600000000000003,0.445,1.35
17479,2024,Jack Flaherty,- - -,28,13,7,3.2,3.17,28,28,162.0,194,38,24,1.07,10.78,2.11,0.299,0.059000000000000004,3.48,3.0,0.285,0.809,0.349,0.37799999999999995,93.2,0.292,84.8,0.026000000000000002,85.9,0.217,77.4,0.22699999999999998,0.395,1.33
22201,2024,MacKenzie Gore,WSN,25,10,12,3.2,3.9,32,32,166.1,181,65,15,1.42,9.79,3.52,0.248,0.08900000000000001,3.53,3.87,0.34,0.6809999999999999,0.37799999999999995,0.353,96.1,0.157,90.7,0.09300000000000001,85.9,0.19699999999999998,82.9,0.255,0.391,0.81
25880,2024,Hunter Brown,HOU,25,11,9,3.1,3.49,31,30,170.0,179,60,18,1.27,9.48,3.18,0.251,0.084,3.58,3.47,0.307,0.7659999999999999,0.303,0.305,95.9,0.054000000000000006,89.2,,,0.125,82.9,0.20600000000000002,0.489,0.95
27782,2024,Brandon Pfaadt,ARI,25,11,10,3.1,4.71,32,32,181.2,185,42,24,1.24,9.17,2.08,0.243,0.055,3.61,3.58,0.315,0.645,0.38799999999999996,0.38799999999999996,93.8,0.273,84.9,0.113,87.5,0.053,80.8,0.19699999999999998,0.415,1.19
17874,2024,Nestor Cortes,NYY,29,9,10,3.1,3.77,31,30,174.1,162,39,24,1.15,8.36,2.01,0.228,0.055,3.84,4.16,0.287,0.764,0.434,0.489,92.1,0.166,78.3,0.09699999999999999,83.6,,,0.2,0.311,1.24
21390,2024,Joe Ryan,MIN,28,7,7,3.1,3.6,23,23,135.0,147,23,19,0.99,9.8,1.53,0.273,0.043,3.44,3.44,0.265,0.7090000000000001,0.364,0.45399999999999996,93.9,0.233,83.1,,,,,0.18899999999999997,0.35700000000000004,1.27
13543,2024,Blake Snell,SFG,31,5,3,3.1,3.12,20,20,104.0,145,44,6,1.05,12.55,3.81,0.34700000000000003,0.105,2.43,3.01,0.266,0.7090000000000001,0.289,0.40700000000000003,95.9,0.099,88.8,0.177,85.5,0.261,81.2,0.17300000000000001,0.42,0.52
33829,2024,Shota Imanaga,CHC,30,15,3,3.0,2.91,29,29,173.1,174,28,27,1.02,9.03,1.45,0.251,0.04,3.72,3.62,0.264,0.802,0.389,0.455,91.7,0.076,81.7,0.021,88.7,0.033,72.5,0.17300000000000001,0.37200000000000005,1.4
17312,2024,Justin Steele,CHC,28,5,5,3.0,3.07,24,24,134.2,135,37,12,1.1,9.02,2.47,0.243,0.067,3.23,3.62,0.27,0.725,0.327,0.375,91.6,0.29600000000000004,83.3,0.032,86.2,0.022000000000000002,80.1,0.177,0.44799999999999995,0.8
14107,2024,Kevin Gausman,TOR,33,14,11,2.9,3.83,31,31,181.0,162,56,20,1.22,8.06,2.78,0.214,0.07400000000000001,3.77,4.22,0.281,0.703,0.414,0.42200000000000004,93.9,0.084,82.8,,,,,0.195,0.38299999999999995,0.99
21224,2024,Bailey Ober,MIN,28,12,9,2.9,3.98,31,31,178.2,191,43,27,1.0,9.62,2.17,0.26899999999999996,0.061,3.82,3.83,0.247,0.7070000000000001,0.33899999999999997,0.503,91.8,0.11599999999999999,80.3,0.294,83.4,0.013999999999999999,76.4,0.161,0.335,1.36
19291,2024,Zac Gallen,ARI,28,14,6,2.8,3.65,28,28,148.0,156,54,13,1.26,9.49,3.28,0.251,0.087,3.38,3.62,0.305,0.747,0.41,0.336,93.7,0.087,87.0,0.14,86.7,0.27699999999999997,81.0,0.20199999999999999,0.462,0.79
29837,2024,Bryce Miller,SEA,25,12,8,2.8,2.94,31,31,180.1,171,45,21,0.98,8.53,2.25,0.243,0.064,3.58,3.85,0.237,0.782,0.408,0.441,95.1,0.168,84.5,,,0.045,85.0,0.17800000000000002,0.381,1.05
15873,2024,Sean Manaea,NYM,32,12,6,2.8,3.47,32,32,181.2,184,63,21,1.08,9.12,3.12,0.249,0.085,3.83,4.04,0.245,0.742,0.376,0.431,92.4,0.245,79.3,0.11699999999999999,85.4,,,0.193,0.376,1.04
13774,2024,Zach Eflin,- - -,30,10,9,2.8,3.59,28,28,165.1,134,24,22,1.15,7.29,1.31,0.196,0.035,3.77,3.81,0.287,0.752,0.359,0.375,91.9,0.10300000000000001,79.7,0.061,85.7,0.18,78.9,0.19699999999999998,0.42700000000000005,1.2
33825,2024,Yoshinobu Yamamoto,LAD,25,7,2,2.8,3.0,18,18,90.0,105,22,7,1.11,10.5,2.2,0.285,0.06,2.61,2.86,0.305,0.757,0.413,0.315,95.5,0.033,86.3,,,0.231,78.1,0.20600000000000002,0.479,0.7
9132,2024,Nathan Eovaldi,TEX,34,12,8,2.7,3.8,29,29,170.2,166,42,23,1.11,8.75,2.21,0.239,0.06,3.83,3.47,0.271,0.745,0.426,0.32799999999999996,95.5,0.028999999999999998,86.0,,,0.13699999999999998,76.8,0.188,0.483,1.21
27867,2024,Cade Smith,CLE,25,6,1,2.7,1.91,74,0,75.1,103,17,1,0.9,12.31,2.03,0.35600000000000004,0.059000000000000004,1.4,2.41,0.303,0.79,0.428,0.358,96.1,0.10099999999999999,82.1,,,,,0.20600000000000002,0.436,0.12
31846,2024,Spencer Schwellenbach,ATL,24,8,7,2.6,3.35,21,21,123.2,127,23,14,1.04,9.24,1.67,0.254,0.046,3.29,3.34,0.279,0.745,0.39799999999999996,0.36700000000000005,96.0,0.201,87.3,,,0.14400000000000002,80.6,0.217,0.41600000000000004,1.02
20253,2024,Griffin Jax,MIN,29,5,5,2.6,2.03,72,0,71.0,95,15,4,0.87,12.04,1.9,0.344,0.054000000000000006,1.94,2.32,0.269,0.7709999999999999,0.384,0.32299999999999995,97.1,0.371,88.8,0.16699999999999998,92.4,0.062,86.5,0.155,0.522,0.51
25377,2024,Brady Singer,KCR,27,9,13,2.5,3.71,32,32,179.2,170,54,22,1.27,8.52,2.71,0.223,0.071,3.93,3.62,0.302,0.778,0.41700000000000004,0.29100000000000004,92.2,0.455,82.9,0.017,87.9,,,0.23800000000000002,0.47100000000000003,1.1
27636,2024,Mitchell Parker,WSN,24,7,10,2.4,4.29,29,29,151.0,133,43,18,1.3,7.93,2.56,0.20600000000000002,0.067,3.85,4.17,0.302,0.6729999999999999,0.389,0.406,92.5,0.098,84.5,,,0.225,80.5,0.215,0.38,1.07
24968,2024,Reese Olson,DET,24,4,8,2.4,3.53,22,22,112.1,101,33,7,1.18,8.09,2.64,0.217,0.071,3.17,3.72,0.291,0.6759999999999999,0.434,0.312,94.2,0.278,84.8,0.223,86.6,0.06,79.1,0.182,0.506,0.56
21446,2024,Ryan Feltner,COL,27,3,10,2.4,4.49,30,30,162.1,138,52,20,1.34,7.65,2.88,0.19899999999999998,0.075,4.16,4.17,0.305,0.6629999999999999,0.366,0.35200000000000004,94.5,0.249,87.6,0.147,85.3,0.107,79.3,0.19899999999999998,0.449,1.11
