hitter_archetype,pitcher_archetype,total_pitches,zone_distribution
Contact Hitter,High Spin,6409,"{""14.0"": 0.29552192229677016, ""13.0"": 0.11998751755344048, ""11.0"": 0.0786394133250117, ""12.0"": 0.0695896395693556, ""9.0"": 0.06459666094554532, ""5.0"": 0.05960368232173506, ""6.0"": 0.058823529411764705, ""8.0"": 0.05819940708378842, ""4.0"": 0.049305663910126384, ""2.0"": 0.041504134810422845, ""7.0"": 0.03885161491652364, ""1.0"": 0.03619909502262444, ""3.0"": 0.029177718832891247}"
Power Hitter,Average Spin,2481,"{""5.0"": 0.19750100765820233, ""8.0"": 0.13583232567513098, ""4.0"": 0.1128577186618299, ""2.0"": 0.1007658202337767, ""6.0"": 0.09270455461507457, ""7.0"": 0.07940346634421604, ""9.0"": 0.062071745264006446, ""1.0"": 0.0475614671503426, ""13.0"": 0.045949214026602174, ""3.0"": 0.04393389762192664, ""14.0"": 0.032648125755743655, ""11.0"": 0.024586860137041516, ""12.0"": 0.02418379685610641}"
Power Hitter,High Spin,430,"{""5.0"": 0.20930232558139536, ""8.0"": 0.1744186046511628, ""9.0"": 0.10930232558139535, ""4.0"": 0.10465116279069768, ""6.0"": 0.1, ""7.0"": 0.07209302325581396, ""2.0"": 0.05581395348837209, ""3.0"": 0.03953488372093023, ""14.0"": 0.03953488372093023, ""1.0"": 0.03488372093023256, ""13.0"": 0.03255813953488372, ""11.0"": 0.018604651162790697, ""12.0"": 0.009302325581395349}"
Contact Hitter,Average Spin,82877,"{""14.0"": 0.17486081422170693, ""13.0"": 0.13151697402268034, ""11.0"": 0.12382401603806625, ""12.0"": 0.09750854437641149, ""5.0"": 0.06685748100914218, ""6.0"": 0.05711145731434852, ""4.0"": 0.05607284760214002, ""8.0"": 0.05597623274519039, ""9.0"": 0.05286040360856491, ""2.0"": 0.05166479475381327, ""7.0"": 0.04594036447954784, ""1.0"": 0.04484137048174583, ""3.0"": 0.04096469934664203}"
Contact Hitter,High Spin,23745,"{""14.0"": 0.2915982312065698, ""13.0"": 0.1224257738471257, ""11.0"": 0.07854285112655296, ""12.0"": 0.06894082964834702, ""9.0"": 0.0655295851758265, ""6.0"": 0.06030743314381975, ""5.0"": 0.06009686249736787, ""8.0"": 0.05908612339439882, ""4.0"": 0.045862286797220465, ""7.0"": 0.040555906506632974, ""2.0"": 0.04005053695514845, ""1.0"": 0.033859759949463046, ""3.0"": 0.03314381975152664}"
Power Hitter,Average Spin,7661,"{""5.0"": 0.205717269285994, ""8.0"": 0.14384545098551102, ""4.0"": 0.12126354261845712, ""6.0"": 0.10690510377235347, ""2.0"": 0.0804072575381804, ""7.0"": 0.07701344472001044, ""9.0"": 0.06448244354522908, ""3.0"": 0.044641691685158594, ""1.0"": 0.0402036287690902, ""13.0"": 0.0402036287690902, ""14.0"": 0.031980159248139926, ""11.0"": 0.02192925205586738, ""12.0"": 0.02140712700691816}"
Power Hitter,High Spin,1729,"{""5.0"": 0.20069404279930594, ""8.0"": 0.15731636784268363, ""6.0"": 0.11336032388663968, ""9.0"": 0.10989010989010989, ""4.0"": 0.09253903990746096, ""7.0"": 0.07923655292076345, ""2.0"": 0.06015037593984962, ""14.0"": 0.05263157894736842, ""13.0"": 0.038750722961249276, ""3.0"": 0.03296703296703297, ""1.0"": 0.031231925968768073, ""12.0"": 0.019664545980335454, ""11.0"": 0.01156737998843262}"
Contact Hitter,Average Spin,78232,"{""14"": 0.1739441660701503, ""13"": 0.13108446671438798, ""11"": 0.12735197872993148, ""12"": 0.0973770324164025, ""5"": 0.06451324266284897, ""4"": 0.058019736169342466, ""6"": 0.05639635954596584, ""8"": 0.05559106248082626, ""2"": 0.05189692197566213, ""9"": 0.05088710502096329, ""7"": 0.047141834543409346, ""1"": 0.04518611309949892, ""3"": 0.04060998057061049}"
Contact Hitter,High Spin,21446,"{""14"": 0.30276042152382726, ""13"": 0.12235381889396624, ""11"": 0.08239298703720974, ""9"": 0.0662594423202462, ""12"": 0.06406789144828873, ""5"": 0.06313531660915789, ""8"": 0.057166837638720505, ""6"": 0.0537163107339364, ""4"": 0.0472815443439336, ""7"": 0.04038049053436538, ""2"": 0.039074885759582206, ""1"": 0.03361932295066679, ""3"": 0.02779073020609904}"
Power Hitter,Average Spin,7032,"{""5"": 0.20022753128555176, ""8"": 0.1389362912400455, ""4"": 0.12400455062571103, ""6"": 0.11191695108077361, ""2"": 0.07864050056882821, ""7"": 0.07608077360637087, ""9"": 0.07124573378839591, ""1"": 0.046501706484641636, ""3"": 0.04251990898748578, ""13"": 0.04010238907849829, ""14"": 0.030147895335608646, ""11"": 0.020904436860068258, ""12"": 0.01877133105802048}"
Power Hitter,High Spin,1605,"{""5"": 0.16822429906542055, ""8"": 0.15700934579439252, ""6"": 0.1308411214953271, ""4"": 0.1015576323987539, ""9"": 0.08847352024922119, ""7"": 0.07227414330218068, ""2"": 0.06978193146417445, ""14"": 0.06728971962616823, ""13"": 0.03987538940809969, ""3"": 0.03364485981308411, ""1"": 0.029283489096573207, ""11"": 0.022429906542056073, ""12"": 0.019314641744548288}"
Contact Hitter,Average Spin,84545,"{""14.0"": 0.17736086090831515, ""13.0"": 0.13584431591921872, ""11.0"": 0.11920451313169622, ""12.0"": 0.09456480515786479, ""5.0"": 0.0662273632312506, ""8.0"": 0.05774153787806959, ""6.0"": 0.05768227932113397, ""4.0"": 0.05626007395467906, ""9.0"": 0.05448231724661041, ""2.0"": 0.049943111785341804, ""7.0"": 0.046837963401915234, ""1.0"": 0.04387503555513416, ""3.0"": 0.03997582250877026}"
